iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
-1 	 0.0000000000e+00 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	2.1875780624e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	5.4838588450e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	7.1375878635e-01 	1.2644818957e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0230000000e-05 	  1.0240000000e-05 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999943e+02 	1.0867120605e-15 	3.1274882883e-16 	2.5654899478e-15 	2.1875780613e-01 	7.7926848534e-15 	6.1181753193e-14 	1.0649126768e-10 	3.7604381831e-14 	1.5131305322e-29 	3.9110059579e-29 	1.1100072222e-23 	1.4068114255e-24 	4.8567074227e-11 	5.4838588398e-02 	1.4221008498e-19 	7.3854577679e-22 	1.6047862780e-21 	1.0344956287e-13 	1.6424386585e-25 	1.5674695032e-15 	1.5740688417e-16 	1.7353433882e-29 	9.3807191219e-28 	9.8098202995e-30 	9.8205108976e-21 	1.1928626521e-20 	3.1524754041e-18 	-1.5816524055e-28 	-2.5844330479e-29 	1.1430830423e-29 	1.6308293150e-28 	1.3645688855e-27 	-2.1430036842e-27 	6.2511184064e-29 	3.6717389640e-21 	1.3592333587e-26 	-6.2964884061e-29 	3.1322122542e-19 	6.6352014086e-28 	-7.3916428897e-30 	-1.2670399156e-27 	-9.2309809174e-28 	-4.0523886976e-29 	-1.8751333401e-28 	-3.6179656000e-28 	6.0808148376e-28 	-4.2008408189e-28 	7.1375878635e-01 	1.2644818957e-02 	5.0370899986e-28 	9.5004831073e-29 	7.6020126930e-28 	-2.6723778428e-28 	
1 	 7.6383000000e-04 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999996051e+02 	1.3779322157e-12 	7.8075819940e-15 	1.7417589488e-13 	2.1875779785e-01 	6.3897481317e-13 	3.8174687625e-10 	7.7761976754e-09 	2.0055849893e-10 	9.8163837038e-36 	2.6123092235e-27 	7.3278780881e-20 	9.2081704085e-21 	3.7695999549e-09 	5.4838584102e-02 	6.1336964731e-14 	3.6094992127e-16 	9.5848163384e-18 	6.0573227546e-10 	3.2141061315e-21 	1.5623318838e-13 	1.2032041652e-12 	1.3790857553e-34 	2.7828627980e-23 	1.9264187649e-25 	9.6912252859e-15 	1.4175519826e-16 	1.4528079262e-12 	-1.2761851502e-34 	1.3055176789e-22 	-1.1324556672e-28 	5.4878918652e-27 	9.4363040819e-29 	-4.5331318429e-28 	-9.6182555436e-28 	9.2228598963e-20 	7.0042046688e-24 	3.7993146503e-28 	7.3017593299e-16 	2.1711949649e-28 	-3.2039394165e-34 	1.0991292975e-28 	1.1871110899e-31 	7.9191155479e-29 	-1.3656522406e-27 	-4.8116172929e-28 	1.0151124785e-27 	1.2334776192e-26 	7.1375878635e-01 	1.2644818957e-02 	4.3574740772e-24 	2.4456465215e-20 	7.8916886547e-24 	1.6207120655e-23 	
2 	 1.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999992004e+02 	8.1259397139e-12 	2.1491426770e-14 	4.3378537253e-13 	2.1875778465e-01 	1.6305324454e-12 	2.1812194504e-09 	1.7423181237e-08 	1.0086876948e-09 	1.1556909461e-34 	6.3643447479e-27 	4.4663920623e-19 	5.6437297736e-20 	9.1804533035e-09 	5.4838576821e-02 	7.9076613521e-13 	4.9044924596e-15 	5.4498735939e-17 	3.3850653467e-09 	3.3573945367e-20 	4.4862786956e-13 	7.5104736342e-12 	2.6305253815e-34 	1.1548466919e-21 	6.3083557352e-24 	1.2984501535e-13 	8.4522728616e-16 	1.9313815360e-11 	2.0898136463e-31 	9.7165534551e-21 	-1.1324236681e-28 	1.3680175267e-26 	6.5832918716e-28 	-4.5362294298e-28 	-9.6149258183e-28 	2.5338003038e-19 	3.9276327001e-23 	1.2596432733e-26 	3.7843288509e-15 	1.5836281529e-27 	-5.2666392005e-34 	4.6448093501e-27 	7.7034977962e-31 	1.9294025848e-28 	-1.3655384563e-27 	-4.8159947381e-28 	1.0147743612e-27 	1.0119411474e-26 	7.1375878635e-01 	1.2644818957e-02 	1.4262278186e-22 	7.9019571867e-19 	2.6229394919e-22 	5.3302313130e-22 	
3 	 2.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999989422e+02 	2.2408374181e-11 	3.9758948943e-14 	7.3317985711e-13 	2.1875776864e-01 	2.8016536571e-12 	5.7175461492e-09 	2.6470576903e-08 	2.3358888212e-09 	-6.9673487805e-35 	1.0538976926e-26 	1.2502629805e-18 	1.5869613971e-19 	1.5188446475e-08 	5.4838567489e-02 	3.1965230827e-12 	2.0858698413e-14 	1.4288296709e-16 	8.7132473994e-09 	1.2457118689e-19 	8.4769630116e-13 	2.1226303546e-11 	2.8782014240e-34 	9.6663839278e-21 	4.3781015262e-23 	5.4312308714e-13 	2.3171951716e-15 	8.0605820997e-11 	3.7748170108e-30 	1.0372627149e-19 	-1.1226318989e-28 	2.3127706294e-26 	2.0789179110e-27 	-4.5332978100e-28 	-9.6132810751e-28 	4.6804355076e-19 	1.0184373600e-22 	7.7581094026e-26 	9.0986600988e-15 	5.0656546951e-27 	-6.3754985069e-34 	1.3543042773e-26 	2.1755651519e-30 	3.1950673192e-28 	-1.3657021728e-27 	-4.8129212292e-28 	1.0145594565e-27 	8.3154332033e-27 	7.1375878635e-01 	1.2644818957e-02 	9.8783661789e-22 	5.4369285775e-18 	1.8294461123e-21 	3.7335661442e-21 	
4 	 3.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999988542e+02 	4.6468441765e-11 	6.2928838206e-14 	1.0753651295e-12 	2.1875774946e-01 	4.1550238083e-12 	1.1281665262e-08 	3.4923346394e-08 	4.0856944066e-09 	-2.7080687202e-34 	1.5181916239e-26 	2.6338040637e-18 	3.3552853108e-19 	2.1841314841e-08 	5.4838555828e-02 	8.4924196159e-12 	5.8170404943e-14 	2.8325317687e-16 	1.6939140891e-08 	3.1243249730e-19 	1.3606384100e-12 	4.4723250430e-11 	3.2304083548e-33 	4.4579117783e-20 	1.7334306009e-22 	1.4917932769e-12 	4.7961014485e-15 	2.2114478103e-10 	2.9467629462e-29 	5.4847699529e-19 	-1.0030548724e-28 	3.3925298401e-26 	4.8612924294e-27 	-4.5413036116e-28 	-9.6158929137e-28 	7.3994543287e-19 	1.9967446814e-22 	2.7201110089e-25 	1.6546131753e-14 	1.1920389215e-26 	2.6202361934e-34 	2.7695550428e-26 	4.5617637581e-30 	4.6027804595e-28 	-1.3656124430e-27 	-4.8083683488e-28 	1.0139405475e-27 	6.8260684213e-27 	7.1375878635e-01 	1.2644818957e-02 	3.9033479323e-21 	2.1371094364e-17 	7.2643721833e-21 	1.4927262101e-20 	
5 	 4.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999989622e+02 	8.2685625702e-11 	9.1252623941e-14 	1.4624411685e-12 	2.1875772672e-01 	5.6909790767e-12 	1.9167044618e-08 	4.2785537202e-08 	6.1725727962e-09 	-1.0387310547e-34 	2.0336217574e-26 	4.7703890401e-18 	6.0951338320e-19 	2.9169751043e-08 	5.4838541558e-02 	1.8128603629e-11 	1.2998491699e-13 	4.8539326967e-16 	2.8433007391e-08 	6.3583604770e-19 	1.9930831815e-12 	8.0514546393e-11 	1.4145986656e-32 	1.4957965087e-19 	5.1145924155e-22 	3.2891125922e-12 	8.5606760301e-15 	4.8719886212e-10 	1.4767190971e-28 	2.0095714614e-18 	-3.5727107704e-29 	4.6139187956e-26 	9.6407540719e-27 	-4.5351828051e-28 	-9.6131532109e-28 	1.0720267253e-18 	3.3830073160e-22 	7.1143849172e-25 	2.6001506881e-14 	2.3731880932e-26 	2.3234707409e-34 	4.8186899264e-26 	8.2989206955e-30 	6.1656082552e-28 	-1.3658946162e-27 	-4.8082488107e-28 	1.0135186675e-27 	5.6101572940e-27 	7.1375878635e-01 	1.2644818957e-02 	1.1496478262e-20 	6.2671372102e-17 	2.1478694079e-20 	4.4480167838e-20 	
6 	 5.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999992944e+02 	1.3353572671e-10 	1.2488029565e-13 	1.8954220239e-12 	2.1875770003e-01 	7.4068147204e-12 	2.9665348252e-08 	5.0060693505e-08 	8.5206594563e-09 	3.6547958428e-35 	2.6044537486e-26 	7.8517659526e-18 	1.0056414049e-18 	3.7185973844e-08 	5.4838524394e-02 	3.3824195785e-11 	2.5306787754e-13 	7.6033602766e-16 	4.3577651552e-08 	1.1352598001e-18 	2.7482995541e-12 	1.3121199104e-10 	5.1402382882e-32 	4.1093576658e-19 	1.2568449721e-21 	6.3293589606e-12 	1.3921853520e-14 	9.3693222198e-10 	5.6152851780e-28 	5.8690541574e-18 	2.1610706112e-28 	5.9801382896e-26 	1.7175909613e-26 	-4.5419917859e-28 	-9.6147534603e-28 	1.4660413954e-18 	5.2377978925e-22 	1.5532139141e-24 	3.7340886033e-14 	4.2393495295e-26 	-3.3744966067e-35 	7.6324434445e-26 	1.3695978087e-29 	7.8965172265e-28 	-1.3660223649e-27 	-4.8077251104e-28 	1.0140938283e-27 	4.6056356805e-27 	7.1375878635e-01 	1.2644818957e-02 	2.8207280095e-20 	1.5323008466e-16 	5.2868848674e-20 	1.1038991899e-19 	
7 	 6.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	9.9999998805e+02 	2.0153553284e-10 	1.6382996995e-13 	2.3740715902e-12 	2.1875766898e-01 	9.2961582468e-12 	4.3061035811e-08 	5.6752568131e-08 	1.1062670148e-08 	-3.9314172013e-35 	3.2351225387e-26 	1.2080314454e-17 	1.5502795753e-18 	4.5882326574e-08 	5.4838504061e-02 	5.7598291335e-11 	4.4810077005e-13 	1.1202722223e-15 	6.2758273118e-08 	1.8519893827e-18 	3.6265026518e-12 	1.9946779076e-10 	1.5348461335e-31 	9.8280507060e-19 	2.7223470025e-21 	1.1095011127e-11 	2.1209952560e-14 	1.6414101503e-09 	1.7648774929e-27 	1.4679076091e-17 	1.0253979460e-27 	7.4904392233e-26 	2.8324032432e-26 	-4.5432519793e-28 	-9.6164456648e-28 	1.9222018147e-18 	7.6262823640e-22 	2.9988447449e-24 	5.0441325205e-14 	7.0049026426e-26 	-5.1448318625e-34 	1.1364477004e-25 	2.1173916302e-29 	9.8089748370e-28 	-1.3660837262e-27 	-4.8045169400e-28 	1.0141393240e-27 	3.7795836869e-27 	7.1375878635e-01 	1.2644818957e-02 	6.1016249097e-20 	3.3057351200e-16 	1.1467468732e-19 	2.4148021970e-19 	
8 	 7.7638300000e-03 	  1.0000000000e-04 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000751e+03 	2.8917458256e-10 	2.0796397932e-13 	2.8967747244e-12 	2.1875763319e-01 	1.1348473188e-11 	5.9625050423e-08 	6.2866050922e-08 	1.3738992602e-08 	-7.7896372113e-35 	3.9303706450e-26 	1.7657817095e-17 	2.2697110818e-18 	5.5230184043e-08 	5.4838480295e-02 	9.1797137669e-11 	7.3978634617e-13 	1.5783691171e-15 	8.6351212187e-08 	2.8268179132e-18 	4.6243010787e-12 	2.8790295050e-10 	4.0495152360e-31 	2.1210130289e-18 	5.3701382545e-21 	1.8159730633e-11 	3.0756872813e-14 	2.6849640777e-09 	4.8181907457e-27 	3.2773061168e-17 	3.2697647616e-27 	9.1397158038e-26 	4.3996935107e-26 	-4.5457548007e-28 	-9.6172006614e-28 	2.4388927838e-18 	1.0617221859e-21 	5.2954904798e-24 	6.5180572128e-14 	1.0898342375e-25 	1.2104748861e-33 	1.6194118679e-25 	3.1099924795e-29 	1.1917374263e-27 	-1.3664298167e-27 	-4.8055802424e-28 	1.0143972996e-27 	3.1139647972e-27 	7.1375878635e-01 	1.2644818957e-02 	1.2022574693e-19 	6.5016071594e-16 	2.2648235658e-19 	4.8106404573e-19 	
