iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	O2 	O 	OH 	H2O 	H 	HO2 	H2O2 	
-1 	 0.0000000000e+00 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	9.0000000000e+02 	2.7431213550e-01 	7.2568786450e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
-1 	 0.0000000000e+00 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	9.0000000000e+02 	5.9266659101e-02 	9.4073334090e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
-1 	 0.0000000000e+00 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	9.0000000000e+02 	1.4383656940e-01 	8.5616343060e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999997e+02 	2.7431213550e-01 	7.2568786447e-01 	1.3801275222e-13 	5.2721742793e-14 	2.5730975018e-13 	6.7236731121e-13 	2.7192150647e-11 	1.7218773632e-15 	
0 	 1.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	8.9999999995e+02 	5.9266659100e-02 	9.4073334088e-01 	3.7447599751e-13 	1.7055250338e-13 	4.8926333200e-13 	4.2372916291e-13 	2.3319159161e-11 	8.3453842355e-16 	
0 	 1.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999995e+02 	1.4383656939e-01 	8.5616343058e-01 	2.6289894967e-13 	1.0524810294e-13 	4.3990826469e-13 	6.2187787195e-13 	2.8973298152e-11 	1.5306706179e-15 	
1 	 2.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999994e+02 	2.7431213550e-01 	7.2568786444e-01 	3.7117813932e-13 	1.1792518906e-13 	1.2212107653e-12 	1.2338109948e-12 	5.9114861719e-11 	7.3182790750e-15 	
1 	 2.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	8.9999999992e+02 	5.9266659099e-02 	9.4073334084e-01 	1.0147635759e-12 	3.5699369704e-13 	2.2394314649e-12 	6.9022587262e-13 	5.3548812286e-11 	3.7317703369e-15 	
1 	 2.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999992e+02 	1.4383656939e-01 	8.5616343054e-01 	6.9767431476e-13 	2.2670924765e-13 	2.0374093817e-12 	1.0789689416e-12 	6.5108968738e-11 	6.6937780875e-15 	
2 	 3.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999992e+02 	2.7431213550e-01 	7.2568786440e-01 	5.9893075208e-13 	1.7800241303e-13 	2.8963282591e-12 	1.7131921139e-12 	9.5038994819e-11 	1.7357681157e-14 	
2 	 3.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	8.9999999991e+02 	5.9266659097e-02 	9.4073334081e-01 	1.6239951346e-12 	5.1249331218e-13 	5.1165593967e-12 	8.8002520527e-13 	8.8418805009e-11 	9.1219864189e-15 	
2 	 3.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999990e+02 	1.4383656939e-01 	8.5616343050e-01 	1.1029880233e-12 	3.3124724423e-13 	4.7221546608e-12 	1.4331643279e-12 	1.0666680861e-10 	1.6179914993e-14 	
3 	 4.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999991e+02 	2.7431213549e-01 	7.2568786436e-01 	8.0142218652e-13 	2.3066540388e-13 	5.2073608217e-12 	2.1250586281e-12 	1.3439114878e-10 	3.2324528995e-14 	
3 	 4.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	8.9999999991e+02 	5.9266659095e-02 	9.4073334077e-01 	2.1356689073e-12 	6.3755690945e-13 	8.9143677925e-12 	1.0233476595e-12 	1.2669880147e-10 	1.7308318020e-14 	
3 	 4.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999990e+02 	1.4383656939e-01 	8.5616343045e-01 	1.4412941117e-12 	4.1655905196e-13 	8.3140284329e-12 	1.7127254988e-12 	1.5246883156e-10 	3.0521794406e-14 	
4 	 5.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999990e+02 	2.7431213549e-01 	7.2568786432e-01 	9.7730832697e-13 	2.7623823215e-13 	8.0715682891e-12 	2.4795484955e-12 	1.7669052818e-10 	5.2634684865e-14 	
4 	 5.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	8.9999999992e+02 	5.9266659094e-02 	9.4073334072e-01 	2.5482651638e-12 	7.3682457650e-13 	1.3447186711e-11 	1.1343315715e-12 	1.6758879050e-10 	2.8518515745e-14 	
4 	 5.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999989e+02 	1.4383656939e-01 	8.5616343040e-01 	1.7148418473e-12 	4.8505691902e-13 	1.2639285662e-11 	1.9347757468e-12 	2.0163135420e-10 	5.0139092812e-14 	
5 	 6.0000000000e-06 	  1.0000000000e-07 	 8.5295323222e-02 	1.0132500000e+05 	8.9999999989e+02 	2.7431213549e-01 	7.2568786427e-01 	1.1291467105e-12 	3.1554105507e-13 	1.1413502349e-11 	2.7848253191e-12 	2.2152630014e-10 	7.8645861929e-14 	
5 	 6.0000000000e-06 	  1.0000000000e-07 	 2.3029079968e-01 	1.0132500000e+05 	8.9999999994e+02 	5.9266659092e-02 	9.4073334067e-01 	2.8760916802e-12 	8.1523065035e-13 	1.8561802859e-11 	1.2211607810e-12 	2.1051055891e-10 	4.2928526619e-14 	
5 	 6.0000000000e-06 	  1.0000000000e-07 	 1.3802095103e-01 	1.0132500000e+05 	8.9999999990e+02 	1.4383656938e-01 	8.5616343034e-01 	1.9338429264e-12 	5.3977357679e-13 	1.7551649301e-11 	2.1115389826e-12 	2.5346502634e-10 	7.5364807196e-14 	
