iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	O2 	O 	OH 	H2O 	H 	HO2 	H2O2 	
-1 	 0.000000000000000e+00 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	9.000000000000000e+02 	2.743121355000000e-01 	7.256878645000000e-01 	0.000000000000000e+00 	0.000000000000000e+00 	0.000000000000000e+00 	0.000000000000000e+00 	0.000000000000000e+00 	0.000000000000000e+00 	
0 	 5.000000000000000e-06 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	8.999999998988020e+02 	2.743121354912027e-01 	7.256878643202709e-01 	9.774610499797530e-13 	2.762807254453415e-13 	8.068113588730770e-12 	2.479912120791243e-12 	1.766719763964063e-10 	5.265086145031733e-14 	
1 	 1.000000000000000e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	8.999999998908779e+02 	2.743121354803268e-01 	7.256878640655903e-01 	1.553800171845632e-12 	4.254329405380386e-13 	2.836422679187642e-11 	3.638083685493500e-12 	4.198563192538241e-10 	2.452657108230175e-13 	
2 	 1.500000000000001e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	8.999999999271457e+02 	2.743121354684304e-01 	7.256878637754381e-01 	1.827844616943363e-12 	4.963664767688184e-13 	5.459325522329181e-11 	4.189058793503707e-12 	6.944172598559419e-10 	6.083713445108886e-13 	
3 	 1.999999999999999e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	8.999999999844508e+02 	2.743121354560415e-01 	7.256878634683612e-01 	1.959016231150719e-12 	5.303399233174503e-13 	8.365124026194846e-11 	4.453207746924098e-12 	9.838481971022404e-10 	1.156396119135045e-12 	
4 	 2.499999999999998e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	9.000000000518554e+02 	2.743121354434094e-01 	7.256878631531211e-01 	2.022695839218243e-12 	5.468540300852425e-13 	1.140718269302825e-10 	4.581862630095540e-12 	1.280351541699911e-09 	1.896171750556959e-12 	
5 	 2.999999999999996e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	9.000000001241921e+02 	2.743121354306517e-01 	7.256878628338570e-01 	2.054493336025632e-12 	5.551209579195922e-13 	1.451623436240793e-10 	4.646512615440861e-12 	1.580243777841648e-09 	2.830941303200428e-12 	
6 	 3.499999999999995e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	9.000000001990206e+02 	2.743121354178240e-01 	7.256878625125238e-01 	2.071230816470412e-12 	5.594925342859633e-13 	1.765956069233798e-10 	4.680929150986293e-12 	1.881784874944929e-09 	3.962252577295478e-12 	
7 	 3.999999999999994e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	9.000000002751875e+02 	2.743121354049529e-01 	7.256878621900450e-01 	2.080855031541543e-12 	5.620245647550003e-13 	2.082170901706327e-10 	4.701065856611949e-12 	2.184152903613542e-09 	5.290852556519330e-12 	
8 	 4.499999999999992e-05 	  5.000000000000000e-07 	 8.529532322233555e-02 	1.013250000000000e+05 	9.000000003521486e+02 	2.743121353920503e-01 	7.256878618668567e-01 	2.087120024756037e-12 	5.636882134414500e-13 	2.399538298707824e-10 	4.714459219703842e-12 	2.486959644995643e-09 	6.817109951222214e-12 	
