iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
-1 	 0.0000000000e+00 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	2.1875780624e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	5.4838588450e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	7.1375878635e-01 	1.2644818957e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0000000000e-05 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999944e+02 	1.0545716074e-15 	3.0904440492e-16 	2.5014234401e-15 	2.1875780614e-01 	7.6057807128e-15 	5.8371799597e-14 	1.0409770789e-10 	3.5933676473e-14 	-3.3583491115e-29 	3.3166043212e-29 	1.1088310219e-23 	1.4022090587e-24 	4.7474562410e-11 	5.4838588400e-02 	1.2859240194e-19 	7.1609479769e-22 	1.5326972065e-21 	9.8818980712e-14 	1.6396094984e-25 	1.5286118928e-15 	1.4977386343e-16 	-4.4054524615e-30 	-1.8745656658e-29 	1.0366431464e-28 	9.1158147820e-21 	1.1980104035e-20 	3.0556430506e-18 	2.6188488621e-28 	-1.4412459042e-27 	4.4536676887e-29 	1.6031200901e-28 	-1.4318721422e-28 	6.6923586744e-28 	2.7561624177e-28 	3.6281145782e-21 	1.4370975070e-27 	4.9154765233e-29 	3.0331440198e-19 	-1.5781499548e-27 	4.0282562159e-29 	-1.9810292954e-28 	-3.3797070775e-29 	9.2215716653e-30 	2.8004807050e-29 	4.3420725201e-28 	5.6336335857e-28 	9.5905064457e-27 	7.1375878635e-01 	1.2644818957e-02 	-2.4200208413e-28 	2.7781110706e-28 	-5.6170810402e-28 	-7.6637306975e-28 	
10000 	 1.0001000000e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0000915576e+03 	6.5627891762e-08 	2.2013249274e-12 	2.0157267856e-11 	2.1874311803e-01 	7.6855793985e-11 	8.7928167925e-06 	1.5879476441e-07 	9.0326499505e-08 	6.2783136408e-34 	6.1170261642e-25 	6.4116202352e-16 	8.3997063220e-17 	3.1478244881e-07 	5.4828744802e-02 	3.5557182048e-07 	8.2828313784e-10 	3.6045130315e-13 	1.2016602935e-05 	1.0282140015e-15 	4.9494384695e-11 	6.7332454272e-08 	4.1065969221e-25 	3.1662346833e-13 	3.7739800312e-17 	2.2007762983e-08 	1.4281378528e-12 	2.6470057988e-06 	6.0034800323e-21 	5.7818461289e-12 	7.8254757617e-20 	6.3802340063e-25 	4.2394767502e-24 	-2.0616289863e-26 	-6.2992708069e-26 	2.5761228561e-17 	2.3940133822e-19 	5.1973523620e-20 	3.0592084868e-12 	1.0646752017e-23 	2.5251290349e-35 	7.7156665901e-23 	1.2965713907e-27 	1.8548145408e-26 	2.0394987568e-26 	-2.0887050399e-25 	1.7541295783e-26 	3.1113424225e-25 	7.1375878635e-01 	1.2644818957e-02 	8.3021306972e-16 	5.5362784718e-12 	1.6165846210e-15 	4.7658971037e-15 	
20000 	 2.0001000000e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0002539245e+03 	2.1181842355e-07 	4.1237976705e-12 	3.0114572443e-11 	2.1871832927e-01 	1.1472241082e-10 	2.4068969452e-05 	2.6055451848e-07 	1.5837793430e-07 	3.2864953404e-33 	1.5738811931e-24 	1.1336242981e-15 	1.5119330915e-16 	3.9411874588e-07 	5.4812058333e-02 	2.0585455661e-06 	3.0495543377e-09 	1.0580312906e-12 	3.0803598517e-05 	4.3226121070e-15 	9.2613336570e-11 	2.1636397730e-07 	5.3946793366e-24 	2.7798989058e-12 	1.8172182944e-16 	8.2911058803e-08 	3.2174157482e-12 	7.7484536471e-06 	8.2483208565e-20 	5.1537099461e-11 	1.8994708459e-18 	9.5881363437e-25 	1.4806937577e-23 	1.3539889060e-25 	-5.0433221157e-26 	4.8278730982e-17 	7.7444127257e-19 	4.8708250846e-19 	8.6557934960e-12 	3.7225332690e-23 	4.7939821996e-34 	2.8945292492e-22 	2.5687433417e-27 	4.7696918723e-26 	2.4417032415e-26 	-2.0855731830e-25 	1.0524481305e-24 	5.4816078960e-24 	7.1375878635e-01 	1.2644818957e-02 	3.9087037053e-15 	2.5018599860e-11 	7.8791472978e-15 	2.4199784768e-14 	
30000 	 3.0001000000e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0004920497e+03 	4.7221007050e-07 	7.0764870949e-12 	4.4002010493e-11 	2.1868241977e-01 	1.6696410323e-10 	4.6584713036e-05 	3.8557654891e-07 	2.5160919146e-07 	1.4817343970e-32 	4.1023049145e-24 	1.9189830693e-15 	2.6012539003e-16 	4.8133532271e-07 	5.4787834563e-02 	6.0198956036e-06 	8.6355420966e-09 	2.2000040561e-12 	5.5775103079e-05 	1.1739632729e-14 	1.5892029460e-10 	4.7988505683e-07 	3.3004008644e-23 	1.1649990774e-11 	5.8167798101e-16 	2.1206581358e-07 	6.5872915777e-12 	1.5468629671e-05 	5.2562465197e-19 	2.1948694698e-10 	1.5327178844e-17 	1.4134190698e-24 	4.2902805356e-23 	1.0563042085e-24 	3.0284730943e-25 	8.2899850807e-17 	1.8006645576e-18 	2.1745724393e-18 	1.7272874119e-11 	1.0790823640e-22 	1.9901488587e-33 	7.8562609737e-22 	4.8728988830e-27 	1.2423209961e-25 	4.2072487876e-26 	-2.0778179545e-25 	1.7245579712e-23 	3.2129680196e-23 	7.1375878635e-01 	1.2644818957e-02 	1.2176389577e-14 	7.5826028798e-11 	2.5563656747e-14 	8.4306480911e-14 	
40000 	 4.0001000000e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0008368854e+03 	9.0897530887e-07 	1.1603312399e-11 	6.3859356063e-11 	2.1863093583e-01 	2.4126096970e-10 	7.9308375181e-05 	5.4208597401e-07 	3.8341196217e-07 	6.3151230505e-32 	1.0694447320e-23 	3.2040231163e-15 	4.4084615772e-16 	5.8107118697e-07 	5.4753205814e-02 	1.3648547586e-05 	2.2792305019e-08 	4.0532384160e-12 	8.8729706540e-05 	2.6805007720e-14 	2.6070712278e-10 	9.1788668374e-07 	1.5309258558e-22 	3.7247004030e-11 	1.5974350356e-15 	4.6836274820e-07 	1.2854296322e-11 	2.6740280689e-05 	2.5323617299e-18 	7.1429728044e-10 	8.2946217956e-17 	2.0783811002e-24 	1.1188673825e-22 	4.6508253643e-24 	3.6986008240e-24 	1.3606318854e-16 	3.7178847743e-18 	7.2923176742e-18 	2.9741278353e-11 	2.8145075681e-22 	6.1512971472e-33 	1.9454926532e-21 	9.1311285179e-27 	3.2355520529e-25 	1.0573798850e-25 	-2.0573813359e-25 	1.4693017105e-22 	1.2259448735e-22 	7.1375878635e-01 	1.2644818957e-02 	3.2335806641e-14 	1.9782228650e-10 	7.1266218321e-14 	2.5711149789e-13 	
50000 	 5.0000999999e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0013374994e+03 	1.6216242498e-06 	1.8661736329e-11 	9.3167472998e-11 	2.1855683257e-01 	3.5087926588e-10 	1.2693804745e-04 	7.4334814412e-07 	5.7698459596e-07 	2.6866095651e-31 	2.8273373021e-23 	5.3914823823e-15 	7.5212899559e-16 	6.9962865049e-07 	5.4703724460e-02 	2.7257678703e-05 	5.7740404032e-08 	7.1064993294e-12 	1.3240875498e-04 	5.6359461372e-14 	4.1967611218e-10 	1.6239653662e-06 	6.2667833397e-22 	1.0426049069e-10 	4.0960446890e-15 	9.6142522894e-07 	2.4628447669e-11 	4.2944905834e-05 	1.0744977483e-17 	2.0398772057e-09 	3.7000971790e-16 	3.0922681681e-24 	2.7644052531e-22 	1.5553267329e-23 	2.5250815478e-23 	2.1915047725e-16 	7.2637368044e-18 	2.1053134630e-17 	4.7272127282e-11 	6.9527223878e-22 	2.1289331471e-32 	4.7069430006e-21 	1.7279564052e-26 	8.5425875660e-25 	3.1829153605e-25 	-1.9981210785e-25 	8.7840639616e-22 	3.7150105425e-22 	7.1375878634e-01 	1.2644818957e-02 	7.9460032011e-14 	4.7996788969e-10 	1.8579844345e-13 	7.4115657101e-13 	
60000 	 6.0001000000e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0020761571e+03 	2.7802780150e-06 	3.0073499871e-11 	1.3839367715e-10 	2.1844832347e-01 	5.2081582534e-10 	1.9734319937e-04 	1.0122598403e-06 	8.7539112070e-07 	1.1948175780e-30 	7.8008488055e-23 	9.3403112080e-15 	1.3197685799e-15 	8.4702546945e-07 	5.4632087466e-02 	5.0882851984e-05 	1.4223811604e-07 	1.2329918648e-11 	1.9118679912e-04 	1.1475249570e-13 	6.7725905076e-10 	2.7532921742e-06 	2.4552574622e-21 	2.7306962620e-10 	1.0302432069e-14 	1.9054304722e-06 	4.7515080601e-11 	6.6246660776e-05 	4.3577724070e-17 	5.4677932112e-09 	1.5020036610e-15 	4.7329654972e-24 	6.7418040539e-22 	4.5222609906e-23 	1.3459374752e-22 	3.5393342941e-16 	1.3985733243e-17 	5.5938181808e-17 	7.1745888317e-11 	1.6947614019e-21 	8.0664388229e-32 	1.1572449058e-20 	3.3824813611e-26 	2.3524365654e-24 	1.0210416526e-24 	-1.8067917251e-25 	4.2425629047e-21 	9.7789286849e-22 	7.1375878633e-01 	1.2644818957e-02 	1.8904485505e-13 	1.1302658034e-09 	4.7593539567e-13 	2.1138700023e-12 	
70000 	 7.0001000000e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0032025747e+03 	4.7029506983e-06 	4.9706735704e-11 	2.1295992096e-10 	2.1828399490e-01 	8.0379450752e-10 	3.0483628889e-04 	1.3923596574e-06 	1.3666756468e-06 	5.9521662878e-30 	2.3499660160e-22 	1.7129002472e-14 	2.4490677286e-15 	1.0413660318e-06 	5.4525276090e-02 	9.2180100050e-05 	3.4728732849e-07 	2.1883212887e-11 	2.7259339087e-04 	2.3564134499e-13 	1.1217444684e-09 	4.5853493210e-06 	9.8360379475e-21 	7.0073250402e-10 	2.6563642552e-14 	3.7521661617e-06 	9.5002363616e-11 	1.0030561520e-04 	1.8055859268e-16 	1.4422866581e-08 	5.9380760177e-15 	7.6402635482e-24 	1.6949922973e-21 	1.2694128934e-22 	6.4260822329e-22 	5.8696062829e-16 	2.7642531517e-17 	1.4354508657e-16 	1.0633958445e-10 	4.2565979209e-21 	3.1925128220e-31 	3.0093430993e-20 	7.0917295115e-26 	7.0660398574e-24 	3.4783411309e-24 	-1.1060802247e-25 	1.8000330744e-20 	2.3568332560e-21 	7.1375878631e-01 	1.2644818957e-02 	4.5180805584e-13 	2.6769320061e-09 	1.2516184362e-12 	6.2241682005e-12 	
80000 	 8.0001000000e-01 	  1.0000000000e-06 	 3.3804310866e-01 	1.0132500000e+05 	1.0050248133e+03 	8.0669449603e-06 	8.7228586997e-11 	3.4959977766e-10 	2.1801983623e-01 	1.3308842679e-09 	4.7884983679e-04 	1.9792276840e-06 	2.2584794407e-06 	3.7177678915e-29 	8.3585001293e-22 	3.4828728192e-14 	5.0338539333e-15 	1.3207376148e-06 	5.4357070381e-02 	1.6760189404e-04 	8.6746883663e-07 	4.1473742609e-11 	3.9118537196e-04 	5.1254644453e-13 	1.9745615640e-09 	7.6887011915e-06 	4.3704039452e-20 	1.8466013683e-09 	7.4415011202e-14 	7.5774170703e-06 	2.0561121958e-10 	1.5204009893e-04 	8.2911399175e-16 	3.9326022056e-08 	2.4489185441e-14 	1.3629283553e-23 	4.6767490257e-21 	3.7868034279e-22 	3.0816103850e-21 	1.0356516012e-15 	5.9225939596e-17 	3.7421420612e-16 	1.5711613907e-10 	1.1722552735e-20 	1.5594169515e-30 	8.7940071848e-20 	1.6932778422e-25 	2.5015767846e-23 	1.3420528229e-23 	1.9675271584e-25 	7.1679025750e-20 	5.4277680411e-21 	7.1375878628e-01 	1.2644818957e-02 	1.1334272855e-12 	6.6590843332e-09 	3.5786673723e-12 	2.0029999870e-11 	
