iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
-1 	 0.0000000000e+00 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	2.1875780624e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	5.4838588450e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	7.1375878635e-01 	1.2644818957e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 1.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999999e+02 	2.8493476187e-19 	1.1967287614e-17 	1.5048029097e-18 	2.1875780624e-01 	6.0637074184e-18 	3.2944849163e-19 	1.0412040165e-12 	3.5952411006e-18 	1.6486727138e-29 	-1.2751179796e-29 	1.7268712694e-28 	5.0488841404e-29 	4.7446565704e-13 	5.4838588450e-02 	5.0715374560e-26 	9.0468273363e-29 	7.2498742611e-26 	9.2167251016e-18 	1.1494326145e-31 	8.4902982544e-19 	6.1379464300e-22 	8.8648578869e-30 	5.3328802278e-31 	-1.4146062669e-30 	7.2259053350e-29 	2.1260895208e-26 	3.0529729023e-24 	-7.8734918777e-31 	-5.6317277540e-33 	9.6157088651e-30 	-4.8344416273e-30 	-6.1640786355e-30 	-3.8654381525e-29 	7.5759037940e-33 	1.3943032582e-22 	-1.2436713951e-29 	-4.6801484355e-31 	1.7962973260e-21 	4.7095426234e-30 	-1.5560111454e-29 	-1.9344997898e-31 	1.9282168591e-30 	-3.8402911828e-30 	-2.7448286097e-30 	-5.3944505830e-30 	-4.2966492952e-30 	-2.0204550804e-29 	7.1375878635e-01 	1.2644818957e-02 	-5.7949647865e-30 	-6.7239588360e-30 	-2.8997613763e-31 	-2.8417740363e-35 	
1 	 2.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999999e+02 	1.1218099593e-18 	2.3372305412e-17 	5.8550189207e-18 	2.1875780624e-01 	2.3131448786e-17 	2.5387485776e-18 	2.0824063104e-12 	1.4380900482e-17 	-7.0821433832e-30 	-1.8098476329e-29 	1.1846683766e-27 	2.1948563198e-28 	9.4893026214e-13 	5.4838588449e-02 	5.8236670694e-25 	1.2505781170e-27 	3.9723457147e-25 	3.6973902825e-17 	-3.8518891162e-30 	3.2832856026e-18 	4.7787563721e-21 	-4.2660443228e-30 	-9.0151798108e-31 	-6.1326355580e-30 	2.1724085197e-27 	1.6923862183e-25 	2.4473734237e-23 	-9.5221389726e-30 	-4.6637884542e-32 	9.6074052683e-30 	-3.8305173335e-31 	-1.1363835937e-29 	-4.3393875350e-29 	2.6079113247e-32 	2.7304528634e-22 	-2.2317101501e-29 	-3.5734350571e-29 	3.6169478426e-21 	6.2355819425e-30 	-2.7570802879e-29 	-1.8424961918e-31 	5.2194362630e-30 	-4.5894519448e-30 	1.7385871806e-30 	-3.0357126449e-29 	-9.9197146643e-30 	-4.4164333880e-29 	7.1375878635e-01 	1.2644818957e-02 	3.1811320583e-30 	-7.6199676694e-30 	-2.4894294349e-30 	-7.0600925880e-35 	
2 	 3.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999998e+02 	2.4847776633e-18 	3.4244986020e-17 	1.2818841132e-17 	2.1875780623e-01 	4.9690724293e-17 	8.2713712104e-18 	3.1236066895e-12 	3.2356881134e-17 	4.2680954985e-30 	-2.0302929876e-30 	3.5067221862e-27 	5.6556955524e-28 	1.4233951217e-12 	5.4838588449e-02 	2.2926541398e-24 	5.6613853954e-27 	1.0105205707e-24 	8.3420295953e-17 	1.0454275577e-29 	7.1459440777e-18 	1.5724524990e-20 	-1.4753416925e-30 	2.2022369862e-31 	-7.9208892297e-30 	1.1530920109e-26 	5.6739841565e-25 	8.2630029105e-23 	-3.7810744495e-30 	4.2920965526e-30 	9.6356732174e-30 	5.0629330477e-31 	-1.4043891632e-29 	-5.3000306995e-29 	7.1011287070e-30 	4.0042861682e-22 	-8.4828817196e-30 	-5.8193468984e-29 	5.4620314283e-21 	9.8759665042e-30 	-2.7754914442e-29 	-3.0787303329e-32 	1.2082339100e-29 	-2.6980834841e-30 	1.2215275304e-29 	-3.4243823216e-29 	-9.8807507797e-30 	-9.3329558315e-29 	7.1375878635e-01 	1.2644818957e-02 	-4.9146943618e-30 	-8.5894726835e-29 	-1.1856982903e-29 	-9.2502927066e-35 	
3 	 4.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999998e+02 	4.3493625203e-18 	4.4613526317e-17 	2.2180648267e-17 	2.1875780623e-01 	8.4436185627e-17 	1.8944836849e-17 	4.1648049693e-12 	5.7523084747e-17 	1.4806677428e-29 	6.4029108754e-30 	7.3959272659e-27 	1.1053244175e-27 	1.8978613533e-12 	5.4838588448e-02 	5.9160642277e-24 	1.6188585682e-26 	1.9169760272e-24 	1.4868999635e-16 	4.9356973454e-29 	1.2295707748e-17 	3.6361251483e-20 	1.2690560002e-29 	2.8773236189e-30 	-5.9309171211e-30 	3.6684304063e-26 	1.3357466745e-24 	1.9588972602e-22 	-5.1917305701e-30 	-4.1076048301e-30 	9.6510647869e-30 	5.8287514892e-30 	-1.6476885707e-29 	-7.8153894874e-29 	2.0005891984e-29 	5.2191042532e-22 	1.9493177272e-31 	-9.8811912440e-29 	7.3316214062e-21 	1.0910473468e-29 	-1.3174118200e-29 	1.7548313938e-32 	6.4411603236e-30 	4.1014656575e-30 	1.2215306489e-29 	-4.2440079853e-29 	-9.7590249817e-30 	-1.2586895169e-28 	7.1375878635e-01 	1.2644818957e-02 	-6.6064709144e-30 	-2.3997343787e-28 	-2.1834272219e-29 	-1.2060724599e-34 	
4 	 5.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999997e+02 	6.6923824658e-18 	5.4504500747e-17 	3.3739935357e-17 	2.1875780623e-01 	1.2624094275e-16 	3.5781634581e-17 	5.2060009724e-12 	8.9879411763e-17 	2.4247808655e-29 	-1.5826648885e-30 	1.3002090738e-26 	1.8711342251e-27 	2.3723299115e-12 	5.4838588448e-02 	1.2195323389e-23 	3.6045989918e-26 	3.1187417377e-24 	2.3290387524e-16 	1.0131863618e-28 	1.8605267593e-17 	6.9311227654e-20 	-9.2809692525e-31 	2.7968349638e-30 	-1.5451866661e-29 	8.9266440273e-26 	2.5909299912e-24 	3.8262097169e-22 	-6.1350024169e-30 	1.9941099034e-29 	9.7503107146e-30 	1.0017221330e-29 	-1.9254562076e-29 	-8.3047170708e-29 	3.5315788539e-29 	6.3780183622e-22 	-8.8335227460e-30 	-7.7713378185e-29 	9.2257850024e-21 	1.2719687348e-29 	-1.6655333399e-29 	6.7605426580e-31 	3.3014516549e-29 	-4.9015995625e-30 	1.2215345455e-29 	-7.6924448674e-29 	-9.9226519245e-30 	-1.4856251273e-28 	7.1375878635e-01 	1.2644818957e-02 	4.5842635754e-30 	-3.1559905196e-28 	-2.9383758511e-29 	-1.7425233424e-34 	
5 	 6.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999997e+02 	9.4918745879e-18 	6.3942966174e-17 	4.7310314748e-17 	2.1875780623e-01 	1.7413187830e-16 	5.9835861307e-17 	6.2471945286e-12 	1.2942576142e-16 	1.8819328311e-29 	-2.9197766828e-30 	2.0506427204e-26 	2.8772455906e-27 	2.8468016104e-12 	5.4838588447e-02 	2.1878868139e-23 	6.8850399327e-26 	4.6176645858e-24 	3.3617089013e-16 	1.8962755115e-28 	2.5959918039e-17 	1.1693738407e-19 	1.2818579893e-29 	2.1344322421e-30 	-1.1146184346e-29 	1.8419903758e-25 	4.4463319484e-24 	6.6119232072e-22 	-1.1443363083e-29 	2.1318217986e-29 	9.7527283930e-30 	6.3261156794e-30 	-2.0522672218e-29 	-1.0096606354e-28 	5.2305397977e-29 	7.4839620221e-22 	1.5733612816e-29 	-3.8845730341e-29 	1.1144583774e-20 	1.0016729746e-29 	-1.6165144540e-29 	1.7988153380e-30 	2.5382150376e-29 	-6.6247154980e-31 	1.2215373807e-29 	-8.3000051029e-29 	-9.9244373335e-30 	-1.9660530438e-28 	7.1375878635e-01 	1.2644818957e-02 	-6.9178351266e-30 	-3.7289593283e-28 	-4.0934013897e-29 	-2.2463724679e-34 	
6 	 7.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999996e+02 	1.2727025759e-17 	7.2952559023e-17 	6.2718582690e-17 	2.1875780623e-01 	2.2726840739e-16 	9.2016178573e-17 	7.2883854746e-12 	1.7616203183e-16 	9.3151854252e-31 	1.1299549852e-29 	3.0024589543e-26 	4.1287573318e-27 	3.3212771430e-12 	5.4838588447e-02 	3.5721389896e-23 	1.1846947546e-25 	6.4152378747e-24 	4.5858926258e-16 	2.7740167308e-28 	3.4256309078e-17 	1.8136896630e-19 	2.5451136974e-30 	2.0605059896e-30 	-8.2347286494e-30 	3.3942597152e-25 	7.0121620553e-24 	1.0499728354e-21 	-8.5145023192e-30 	2.7638139252e-29 	9.7107856095e-30 	6.8621017230e-30 	-2.1537847202e-29 	-1.0147278112e-28 	6.7436559757e-29 	8.5397022681e-22 	9.4620177402e-30 	-5.2683740878e-29 	1.3088074010e-20 	9.8700970612e-30 	-1.6152074451e-29 	2.5455216548e-30 	9.6489427611e-30 	-8.7723854428e-30 	1.2215333976e-29 	-1.1937368108e-28 	-9.8846781713e-30 	-2.3639149232e-28 	7.1375878635e-01 	1.2644818957e-02 	1.0651244630e-30 	-3.4458049949e-28 	-4.8953650116e-29 	-3.0209504593e-34 	
7 	 8.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999996e+02 	1.6378107689e-17 	8.1555585331e-17 	7.9803847019e-17 	2.1875780623e-01 	2.8492419967e-16 	1.3310560081e-16 	8.3295736536e-12 	2.3008811995e-16 	-1.4339882459e-29 	-9.2736394410e-31 	4.1660980794e-26 	5.6584277661e-27 	3.7957570976e-12 	5.4838588446e-02 	5.4480220246e-23 	1.8896315954e-25 	8.5130757583e-24 	6.0024753956e-16 	4.3989313221e-28 	4.3401321966e-17 	2.6452466898e-19 	-8.7418851328e-30 	1.6077756212e-30 	-7.6274302540e-31 	5.7600009178e-25 	1.0395548719e-23 	1.5673321691e-21 	-4.2572369473e-30 	1.8579929575e-29 	9.7322585144e-30 	5.7661971481e-30 	-1.5598175322e-29 	-1.1807102054e-28 	8.3660920192e-29 	9.5478506599e-22 	1.4260336708e-29 	-2.3709347659e-29 	1.5056307104e-20 	7.8240669716e-30 	-1.2869064952e-30 	2.3013571379e-30 	-9.9625778929e-30 	2.6352359674e-30 	1.2215328518e-29 	-1.4176918311e-28 	-9.6934963348e-30 	-2.5507081208e-28 	7.1375878635e-01 	1.2644818957e-02 	7.3645546051e-30 	-3.0665207049e-28 	-5.4778539880e-29 	-3.8737976303e-34 	
8 	 9.0000000000e-07 	  1.0000000000e-08 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999995e+02 	2.0426416070e-17 	8.9773104301e-17 	9.8416711849e-17 	2.1875780623e-01 	3.4647144838e-16 	1.8377855669e-16 	9.3707589156e-12 	2.9120392174e-16 	3.7712156601e-30 	3.9714966822e-30 	5.5489792676e-26 	7.4640852146e-27 	4.2702419721e-12 	5.4838588446e-02 	7.8918307491e-23 	2.8463957970e-25 	1.0912314092e-23 	7.6122554984e-16 	5.8607437469e-28 	5.3311056244e-17 	3.6813347945e-19 	-3.6027317235e-30 	2.5922047419e-30 	3.2107008175e-30 	9.1762491006e-25 	1.4700622653e-23 	2.2316406430e-21 	-6.2713247507e-30 	-1.3369802018e-30 	9.6742587806e-30 	-2.1789770948e-31 	-1.8373682175e-29 	-1.2947753879e-28 	1.0705275530e-28 	1.0510872481e-21 	3.9595960972e-30 	-1.8807713998e-29 	1.7049329901e-20 	4.8708273405e-30 	-1.2643481879e-29 	2.2568804806e-30 	-4.8189130358e-30 	-1.9411330445e-30 	1.2215335444e-29 	-1.7309527524e-28 	-9.6875239887e-30 	-2.5034502653e-28 	7.1375878635e-01 	1.2644818957e-02 	5.3352034948e-30 	-3.1288847582e-28 	-5.7292901319e-29 	-4.9257802160e-34 	
