iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	H2 	H 	O 	O2 	OH 	H2O 	HO2 	H2O2 	C 	CH 	CH2 	CH2(S) 	CH3 	CH4 	CO 	CO2 	HCO 	CH2O 	CH2OH 	CH3O 	CH3OH 	C2H 	C2H2 	C2H3 	C2H4 	C2H5 	C2H6 	HCCO 	CH2CO 	HCCOH 	N 	NH 	NH2 	NH3 	NNH 	NO 	NO2 	N2O 	HNO 	CN 	HCN 	H2CN 	HCNN 	HCNO 	HOCN 	HNCO 	NCO 	N2 	AR 	C3H7 	C3H8 	CH2CHO 	CH3CHO 	
-1 	 0.0000000000e+00 	  1.0000000000e-05 	 3.3804310866e-01 	1.0132500000e+05 	1.0000000000e+03 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	2.1875780624e-01 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	5.4838588450e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	7.1375878635e-01 	1.2644818957e-02 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	0.0000000000e+00 	
0 	 4.2700000000e-05 	  1.0000000000e-05 	 3.3804310866e-01 	1.0132500000e+05 	9.9999999761e+02 	7.9881930467e-15 	5.8793527774e-16 	9.5770950947e-15 	2.1875780580e-01 	3.2973499948e-14 	1.1239533127e-12 	4.4407772786e-10 	6.5391785951e-13 	5.5475783219e-36 	1.4069988461e-28 	2.0688488578e-22 	2.5936875530e-23 	2.0306425854e-10 	5.4838588233e-02 	1.0343719162e-17 	5.8590819920e-20 	2.8480502686e-20 	1.8243781154e-12 	3.3424461490e-24 	7.1214583635e-15 	3.1783078183e-15 	2.0953716320e-35 	1.5236256457e-28 	1.3707270553e-30 	1.2948120403e-18 	3.5237607250e-19 	2.4164724691e-16 	2.6861464703e-36 	3.4129668998e-29 	-5.7741501171e-36 	2.9365670837e-28 	3.1972244498e-31 	-5.1599429712e-34 	-3.5090833523e-34 	6.9301129650e-21 	2.1804940689e-26 	4.7847500338e-33 	3.0339692494e-18 	2.9549681270e-31 	2.8617631858e-35 	2.9167497876e-30 	5.0930933370e-34 	4.2619137025e-30 	-7.9176698899e-34 	2.8282237472e-35 	2.8730787734e-34 	7.3503304255e-33 	7.1375878635e-01 	1.2644818957e-02 	2.8662774968e-29 	1.8197428057e-25 	3.8846556685e-29 	1.2484874259e-28 	
10000 	 1.0000427000e+00 	  1.0000000000e-05 	 3.3804310866e-01 	1.0132500000e+05 	1.0160100972e+03 	3.1662011601e-05 	4.9154053233e-10 	1.6944990300e-09 	2.1644126657e-01 	6.8349649127e-09 	1.5277311606e-03 	5.7583013253e-06 	1.0066198810e-05 	1.2367625471e-26 	4.9140340150e-20 	3.6314330985e-13 	5.3343117917e-14 	2.8597061930e-06 	5.3407036325e-02 	7.2527185199e-04 	8.2126017133e-06 	2.9943405328e-10 	9.5844362463e-04 	4.9147867221e-12 	1.1233866024e-08 	2.7166810868e-05 	2.8530803018e-18 	2.1105844025e-08 	1.4573482567e-12 	4.4702631714e-05 	2.0794733579e-09 	4.0559405272e-04 	5.6932180582e-14 	5.0376347482e-07 	8.6863146035e-13 	1.2718513979e-22 	1.0120931336e-19 	9.3375487034e-21 	1.6442855083e-19 	6.0282638582e-15 	6.2585077347e-16 	4.2135073826e-15 	3.9785520672e-10 	2.5020566309e-19 	2.2092227238e-28 	2.2791600586e-18 	3.3993622555e-24 	1.4302437297e-21 	7.4600063766e-22 	2.6412562362e-23 	1.4607703376e-18 	3.4677956555e-20 	7.1375878610e-01 	1.2644818957e-02 	1.2826225818e-11 	7.4590060223e-08 	7.1195719980e-11 	5.1004128597e-10 	
20000 	 1.1100000000e+00 	  0.0000000000e+00 	 3.3804310866e-01 	1.0132500000e+05 	2.5451615903e+03 	7.9036489491e-04 	1.1737590924e-04 	1.2397838481e-03 	1.6009270226e-02 	6.8015516765e-03 	1.1144538145e-01 	3.2482151228e-06 	1.9105412842e-07 	5.0660074220e-15 	5.9380829164e-16 	6.9074302047e-16 	5.2677360385e-17 	1.3070434784e-15 	2.6556539263e-16 	2.7369635614e-02 	1.0743267110e-01 	1.2027029920e-08 	1.2630897334e-10 	1.3191571527e-15 	2.5793399009e-17 	5.2946213977e-17 	3.7219375298e-21 	1.6516721870e-19 	3.4199559840e-24 	1.1567293240e-24 	2.5283978696e-29 	-1.0357654391e-29 	1.0697606275e-17 	5.2074036977e-18 	1.2973035997e-20 	1.5679892183e-07 	1.9643435382e-08 	4.3848167368e-09 	4.4343136913e-09 	7.2976798293e-09 	4.4741066887e-03 	1.4849790122e-06 	4.6066768577e-07 	1.5998954251e-07 	3.6428814655e-12 	2.3316604705e-10 	2.5360670670e-16 	2.9954169731e-19 	4.3235320180e-15 	1.3651552340e-11 	2.3491834997e-09 	2.9847024951e-10 	7.1166928713e-01 	1.2644818957e-02 	6.5535841779e-30 	7.3547129294e-30 	5.8305095554e-23 	1.2556470860e-24 	
30000 	 1.1100000000e+00 	  0.0000000000e+00 	 3.3804310866e-01 	1.0132500000e+05 	2.5451615903e+03 	7.9036489491e-04 	1.1737590924e-04 	1.2397838481e-03 	1.6009270226e-02 	6.8015516765e-03 	1.1144538145e-01 	3.2482151228e-06 	1.9105412842e-07 	5.0660074220e-15 	5.9380829164e-16 	6.9074302047e-16 	5.2677360385e-17 	1.3070434784e-15 	2.6556539263e-16 	2.7369635614e-02 	1.0743267110e-01 	1.2027029920e-08 	1.2630897334e-10 	1.3191571527e-15 	2.5793399009e-17 	5.2946213977e-17 	3.7219375298e-21 	1.6516721870e-19 	3.4199559840e-24 	1.1567293240e-24 	2.5283978696e-29 	-1.0357654391e-29 	1.0697606275e-17 	5.2074036977e-18 	1.2973035997e-20 	1.5679892183e-07 	1.9643435382e-08 	4.3848167368e-09 	4.4343136913e-09 	7.2976798293e-09 	4.4741066887e-03 	1.4849790122e-06 	4.6066768577e-07 	1.5998954251e-07 	3.6428814655e-12 	2.3316604705e-10 	2.5360670670e-16 	2.9954169731e-19 	4.3235320180e-15 	1.3651552340e-11 	2.3491834997e-09 	2.9847024951e-10 	7.1166928713e-01 	1.2644818957e-02 	6.5535841779e-30 	7.3547129294e-30 	5.8305095554e-23 	1.2556470860e-24 	
40000 	 1.1100000000e+00 	  0.0000000000e+00 	 3.3804310866e-01 	1.0132500000e+05 	2.5451615903e+03 	7.9036489491e-04 	1.1737590924e-04 	1.2397838481e-03 	1.6009270226e-02 	6.8015516765e-03 	1.1144538145e-01 	3.2482151228e-06 	1.9105412842e-07 	5.0660074220e-15 	5.9380829164e-16 	6.9074302047e-16 	5.2677360385e-17 	1.3070434784e-15 	2.6556539263e-16 	2.7369635614e-02 	1.0743267110e-01 	1.2027029920e-08 	1.2630897334e-10 	1.3191571527e-15 	2.5793399009e-17 	5.2946213977e-17 	3.7219375298e-21 	1.6516721870e-19 	3.4199559840e-24 	1.1567293240e-24 	2.5283978696e-29 	-1.0357654391e-29 	1.0697606275e-17 	5.2074036977e-18 	1.2973035997e-20 	1.5679892183e-07 	1.9643435382e-08 	4.3848167368e-09 	4.4343136913e-09 	7.2976798293e-09 	4.4741066887e-03 	1.4849790122e-06 	4.6066768577e-07 	1.5998954251e-07 	3.6428814655e-12 	2.3316604705e-10 	2.5360670670e-16 	2.9954169731e-19 	4.3235320180e-15 	1.3651552340e-11 	2.3491834997e-09 	2.9847024951e-10 	7.1166928713e-01 	1.2644818957e-02 	6.5535841779e-30 	7.3547129294e-30 	5.8305095554e-23 	1.2556470860e-24 	
50000 	 1.1100000000e+00 	  0.0000000000e+00 	 3.3804310866e-01 	1.0132500000e+05 	2.5451615903e+03 	7.9036489491e-04 	1.1737590924e-04 	1.2397838481e-03 	1.6009270226e-02 	6.8015516765e-03 	1.1144538145e-01 	3.2482151228e-06 	1.9105412842e-07 	5.0660074220e-15 	5.9380829164e-16 	6.9074302047e-16 	5.2677360385e-17 	1.3070434784e-15 	2.6556539263e-16 	2.7369635614e-02 	1.0743267110e-01 	1.2027029920e-08 	1.2630897334e-10 	1.3191571527e-15 	2.5793399009e-17 	5.2946213977e-17 	3.7219375298e-21 	1.6516721870e-19 	3.4199559840e-24 	1.1567293240e-24 	2.5283978696e-29 	-1.0357654391e-29 	1.0697606275e-17 	5.2074036977e-18 	1.2973035997e-20 	1.5679892183e-07 	1.9643435382e-08 	4.3848167368e-09 	4.4343136913e-09 	7.2976798293e-09 	4.4741066887e-03 	1.4849790122e-06 	4.6066768577e-07 	1.5998954251e-07 	3.6428814655e-12 	2.3316604705e-10 	2.5360670670e-16 	2.9954169731e-19 	4.3235320180e-15 	1.3651552340e-11 	2.3491834997e-09 	2.9847024951e-10 	7.1166928713e-01 	1.2644818957e-02 	6.5535841779e-30 	7.3547129294e-30 	5.8305095554e-23 	1.2556470860e-24 	
60000 	 1.1100000000e+00 	  0.0000000000e+00 	 3.3804310866e-01 	1.0132500000e+05 	2.5451615903e+03 	7.9036489491e-04 	1.1737590924e-04 	1.2397838481e-03 	1.6009270226e-02 	6.8015516765e-03 	1.1144538145e-01 	3.2482151228e-06 	1.9105412842e-07 	5.0660074220e-15 	5.9380829164e-16 	6.9074302047e-16 	5.2677360385e-17 	1.3070434784e-15 	2.6556539263e-16 	2.7369635614e-02 	1.0743267110e-01 	1.2027029920e-08 	1.2630897334e-10 	1.3191571527e-15 	2.5793399009e-17 	5.2946213977e-17 	3.7219375298e-21 	1.6516721870e-19 	3.4199559840e-24 	1.1567293240e-24 	2.5283978696e-29 	-1.0357654391e-29 	1.0697606275e-17 	5.2074036977e-18 	1.2973035997e-20 	1.5679892183e-07 	1.9643435382e-08 	4.3848167368e-09 	4.4343136913e-09 	7.2976798293e-09 	4.4741066887e-03 	1.4849790122e-06 	4.6066768577e-07 	1.5998954251e-07 	3.6428814655e-12 	2.3316604705e-10 	2.5360670670e-16 	2.9954169731e-19 	4.3235320180e-15 	1.3651552340e-11 	2.3491834997e-09 	2.9847024951e-10 	7.1166928713e-01 	1.2644818957e-02 	6.5535841779e-30 	7.3547129294e-30 	5.8305095554e-23 	1.2556470860e-24 	
70000 	 1.1100000000e+00 	  0.0000000000e+00 	 3.3804310866e-01 	1.0132500000e+05 	2.5451615903e+03 	7.9036489491e-04 	1.1737590924e-04 	1.2397838481e-03 	1.6009270226e-02 	6.8015516765e-03 	1.1144538145e-01 	3.2482151228e-06 	1.9105412842e-07 	5.0660074220e-15 	5.9380829164e-16 	6.9074302047e-16 	5.2677360385e-17 	1.3070434784e-15 	2.6556539263e-16 	2.7369635614e-02 	1.0743267110e-01 	1.2027029920e-08 	1.2630897334e-10 	1.3191571527e-15 	2.5793399009e-17 	5.2946213977e-17 	3.7219375298e-21 	1.6516721870e-19 	3.4199559840e-24 	1.1567293240e-24 	2.5283978696e-29 	-1.0357654391e-29 	1.0697606275e-17 	5.2074036977e-18 	1.2973035997e-20 	1.5679892183e-07 	1.9643435382e-08 	4.3848167368e-09 	4.4343136913e-09 	7.2976798293e-09 	4.4741066887e-03 	1.4849790122e-06 	4.6066768577e-07 	1.5998954251e-07 	3.6428814655e-12 	2.3316604705e-10 	2.5360670670e-16 	2.9954169731e-19 	4.3235320180e-15 	1.3651552340e-11 	2.3491834997e-09 	2.9847024951e-10 	7.1166928713e-01 	1.2644818957e-02 	6.5535841779e-30 	7.3547129294e-30 	5.8305095554e-23 	1.2556470860e-24 	
80000 	 1.1100000000e+00 	  0.0000000000e+00 	 3.3804310866e-01 	1.0132500000e+05 	2.5451615903e+03 	7.9036489491e-04 	1.1737590924e-04 	1.2397838481e-03 	1.6009270226e-02 	6.8015516765e-03 	1.1144538145e-01 	3.2482151228e-06 	1.9105412842e-07 	5.0660074220e-15 	5.9380829164e-16 	6.9074302047e-16 	5.2677360385e-17 	1.3070434784e-15 	2.6556539263e-16 	2.7369635614e-02 	1.0743267110e-01 	1.2027029920e-08 	1.2630897334e-10 	1.3191571527e-15 	2.5793399009e-17 	5.2946213977e-17 	3.7219375298e-21 	1.6516721870e-19 	3.4199559840e-24 	1.1567293240e-24 	2.5283978696e-29 	-1.0357654391e-29 	1.0697606275e-17 	5.2074036977e-18 	1.2973035997e-20 	1.5679892183e-07 	1.9643435382e-08 	4.3848167368e-09 	4.4343136913e-09 	7.2976798293e-09 	4.4741066887e-03 	1.4849790122e-06 	4.6066768577e-07 	1.5998954251e-07 	3.6428814655e-12 	2.3316604705e-10 	2.5360670670e-16 	2.9954169731e-19 	4.3235320180e-15 	1.3651552340e-11 	2.3491834997e-09 	2.9847024951e-10 	7.1166928713e-01 	1.2644818957e-02 	6.5535841779e-30 	7.3547129294e-30 	5.8305095554e-23 	1.2556470860e-24 	
